time,pitch_standardized_A,jitter_standardized_A,shimmer_standardized_A,logHNR_standardized_A,intensity_standardized_A,vad_A,pitch_standardized_B,jitter_standardized_B,shimmer_standardized_B,logHNR_standardized_B,intensity_standardized_B,vad_B
1348.26,,,,,,0.0,,,,,,0.0
1348.27,,,,,,0.0,,,,,,0.0
1348.28,,,,,,0.0,,,,,,0.0
1348.29,,,,,,0.0,,,,,,0.0
1348.3,,,,,,0.0,,,,,,0.0
1348.31,,,,,,0.0,,,,,,0.0
1348.32,,,,,,0.0,,,,,,0.0
1348.33,,,,,,0.0,,,,,,0.0
1348.34,,,,,,0.0,,,,,,0.0
1348.35,,,,,,0.0,,,,,,0.0
1348.36,,,,,,0.0,,,,,,0.0
1348.37,,,,,,0.0,,,,,,0.0
1348.38,,,,,,0.0,,,,,,0.0
1348.39,,,,,,0.0,,,,,,0.0
1348.4,,,,,,0.0,,,,,,0.0
1348.41,,,,,,0.0,,,,,,0.0
1348.42,,,,,,0.0,,,,,,0.0
1348.43,,,,,,0.0,,,,,,0.0
1348.44,,,,,,0.0,,,,,,0.0
1348.45,,,,,,0.0,,,,,,0.0
1348.46,,,,,,0.0,,,,,,0.0
1348.47,,,,,,0.0,,,,,,0.0
1348.48,,,,,,0.0,,,,,,0.0
1348.49,,,,,,0.0,,,,,,0.0
1348.5,,,,,,0.0,,,,,,0.0
1348.51,,,,,,0.0,,,,,,0.0
1348.52,,,,,,0.0,,,,,,0.0
1348.53,,,,,,0.0,,,,,,0.0
1348.54,,,,,,0.0,,,,,,0.0
1348.55,,,,,,0.0,,,,,,0.0
1348.56,,,,,,0.0,,,,,,0.0
1348.57,,,,,,0.0,,,,,,0.0
1348.58,,,,,,0.0,,,,,,0.0
1348.59,,,,,,0.0,,,,,,0.0
1348.6,,,,,,0.0,,,,,,0.0
1348.61,,,,,,0.0,,,,,,0.0
1348.62,,,,,,0.0,,,,,,0.0
1348.63,,,,,,0.0,,,,,,0.0
1348.64,,,,,,0.0,,,,,,0.0
1348.65,,,,,,0.0,,,,,,0.0
1348.66,,,,,,0.0,,,,,,0.0
1348.67,,,,,,0.0,,,,,,0.0
1348.68,,,,,,0.0,,,,,,0.0
1348.69,,,,,,0.0,,,,,,0.0
1348.7,,,,,,0.0,,,,,,0.0
1348.71,,,,,,0.0,,,,,,0.0
