time,pitch_standardized_A,jitter_standardized_A,shimmer_standardized_A,logHNR_standardized_A,intensity_standardized_A,vad_A,pitch_standardized_B,jitter_standardized_B,shimmer_standardized_B,logHNR_standardized_B,intensity_standardized_B,vad_B
85.8,,,,,,0.0,,,,,,0.0
85.81,,,,,,0.0,,,,,,0.0
85.82,,,,,,0.0,,,,,,0.0
85.83,,,,,,0.0,,,,,,0.0
85.84,,,,,,0.0,,,,,,0.0
85.85,,,,,,0.0,,,,,,0.0
85.86,,,,,,0.0,,,,,,0.0
85.87,,,,,,0.0,,,,,,0.0
85.88,,,,,,0.0,,,,,,0.0
85.89,,,,,,0.0,,,,,,0.0
85.9,,,,,,0.0,,,,,,0.0
85.91,,,,,,0.0,,,,,,0.0
85.92,,,,,,0.0,,,,,,0.0
85.93,,,,,,0.0,,,,,,0.0
85.94,,,,,,0.0,,,,,,0.0
85.95,,,,,,0.0,,,,,,0.0
85.96,,,,,,0.0,,,,,,0.0
85.97,,,,,,0.0,,,,,,0.0
85.98,,,,,,0.0,,,,,,0.0
85.99,,,,,,0.0,,,,,,0.0
86.0,,,,,,0.0,,,,,,0.0
86.01,,,,,,0.0,,,,,,0.0
86.02,,,,,,0.0,,,,,,0.0
86.03,,,,,,0.0,,,,,,0.0
86.04,,,,,,0.0,,,,,,0.0
86.05,,,,,,0.0,,,,,,0.0
86.06,,,,,,0.0,,,,,,0.0
86.07,,,,,,0.0,,,,,,0.0
86.08,,,,,,0.0,,,,,,0.0
86.09,,,,,,0.0,,,,,,0.0
86.1,,,,,,0.0,,,,,,0.0
86.11,,,,,,0.0,,,,,,0.0
86.12,,,,,,0.0,,,,,,0.0
86.13,,,,,,0.0,,,,,,0.0
86.14,,,,,,0.0,,,,,,0.0
86.15,,,,,,0.0,,,,,,0.0
86.16,,,,,,0.0,,,,,,0.0
86.17,,,,,,0.0,,,,,,0.0
86.18,,,,,,0.0,,,,,,0.0
86.19,,,,,,0.0,,,,,,0.0
86.2,,,,,,0.0,,,,,,0.0
86.21,,,,,,0.0,,,,,,0.0
86.22,,,,,,0.0,,,,,,0.0
86.23,,,,,,0.0,,,,,,0.0
86.24,,,,,,0.0,,,,,,0.0
86.25,,,,,,0.0,,,,,,0.0
86.26,,,,,,0.0,,,,,,0.0
86.27,,,,,,0.0,,,,,,0.0
86.28,,,,,,0.0,,,,,,0.0
86.29,,,,,,0.0,,,,,,0.0
86.3,,,,,,0.0,,,,,,0.0
86.31,,,,,,0.0,,,,,,0.0
86.32,,,,,,0.0,,,,,,0.0
86.33,,,,,,0.0,,,,,,0.0
86.34,,,,,,0.0,,,,,,0.0
86.35,,,,,,0.0,,,,,,0.0
86.36,,,,,,0.0,,,,,,0.0
86.37,,,,,,0.0,,,,,,0.0
86.38,,,,,,0.0,,,,,,0.0
