time,pitch_standardized_A,jitter_standardized_A,shimmer_standardized_A,logHNR_standardized_A,intensity_standardized_A,vad_A,pitch_standardized_B,jitter_standardized_B,shimmer_standardized_B,logHNR_standardized_B,intensity_standardized_B,vad_B
1634.11,,,,,,0.0,,,,,,0.0
1634.12,,,,,,0.0,,,,,,0.0
1634.13,,,,,,0.0,,,,,,0.0
1634.14,,,,,,0.0,,,,,,0.0
1634.15,,,,,,0.0,,,,,,0.0
1634.16,,,,,,0.0,,,,,,0.0
1634.17,,,,,,0.0,,,,,,0.0
1634.18,,,,,,0.0,,,,,,0.0
1634.19,,,,,,0.0,,,,,,0.0
1634.2,,,,,,0.0,,,,,,0.0
1634.21,,,,,,0.0,,,,,,0.0
1634.22,,,,,,0.0,,,,,,0.0
1634.23,,,,,,0.0,,,,,,0.0
1634.24,,,,,,0.0,,,,,,0.0
1634.25,,,,,,0.0,,,,,,0.0
1634.26,,,,,,0.0,,,,,,0.0
1634.27,,,,,,0.0,,,,,,0.0
1634.28,,,,,,0.0,,,,,,0.0
1634.29,,,,,,0.0,,,,,,0.0
1634.3,,,,,,0.0,,,,,,0.0
1634.31,,,,,,0.0,,,,,,0.0
1634.32,,,,,,0.0,,,,,,0.0
1634.33,,,,,,0.0,,,,,,0.0
1634.34,,,,,,0.0,,,,,,0.0
1634.35,,,,,,0.0,,,,,,0.0
1634.36,,,,,,0.0,,,,,,0.0
1634.37,,,,,,0.0,,,,,,0.0
1634.38,,,,,,0.0,,,,,,0.0
1634.39,,,,,,0.0,,,,,,0.0
1634.4,,,,,,0.0,,,,,,0.0
1634.41,,,,,,0.0,,,,,,0.0
1634.42,,,,,,0.0,,,,,,0.0
1634.43,,,,,,0.0,,,,,,0.0
1634.44,,,,,,0.0,,,,,,0.0
1634.45,,,,,,0.0,,,,,,0.0
1634.46,,,,,,0.0,,,,,,0.0
1634.47,,,,,,0.0,,,,,,0.0
1634.48,,,,,,0.0,,,,,,0.0
1634.49,,,,,,0.0,,,,,,0.0
1634.5,,,,,,0.0,,,,,,0.0
1634.51,,,,,,0.0,,,,,,0.0
1634.52,,,,,,0.0,,,,,,0.0
